Rank (Forbes),Name,State,Cost,Type,Average Financial Aid
#87,Macalester College,Minnesota,"$66,280 ",Private not-for-profit,"$33,325 "
#88,Georgia Institute of Technology,Georgia,"$49,366 ",Public,"$11,835 "
#89,Trinity College (CT),Connecticut,"$71,470 ",Private not-for-profit,"$43,006 "
#90,George Washington University,District of Columbia,"$69,368 ",Private not-for-profit,"$25,674 "
#91,Reed College,Oregon,"$69,820 ",Private not-for-profit,"$36,597 "
#92,Franklin and Marshall College,Pennsylvania,"$70,430 ",Private not-for-profit,"$42,424 "
#93,University of Richmond,Virginia,"$64,890 ",Private not-for-profit,"$38,849 "
#94,"University of California, Davis",California,"$63,743 ",Public,"$18,523 "
#95,Case Western Reserve University,Ohio,"$65,384 ",Private not-for-profit,"$28,253 "
#96,"University of California, Irvine",California,"$61,872 ",Public,"$18,506 "
#97,Brandeis University,Massachusetts,"$70,943 ",Private not-for-profit,"$33,806 "
#98,DePauw University,Indiana,"$62,567 ",Private not-for-profit,"$27,615 "
#99,Yeshiva University,New York,"$60,525 ",Private not-for-profit,"$26,387 "
#100,University of Miami (FL),Florida,"$66,274 ",Private not-for-profit,"$22,921 "
